1,1,5.517E-4,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
6,2,0.004137533333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
7,1,0.004264133,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
7,2,0.004405933333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 100 kW,])
8,1,0.004521866666666667,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
8,2,0.004669533333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
9,1,0.0047939666666666665,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
9,2,0.0049431,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
10,1,0.005055999666666667,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
10,2,0.0052048,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 75 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
11,1,0.0053359,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
11,2,0.0054869666666666666,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
12,1,0.005610199666666667,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
12,2,0.005750433333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
13,1,0.005862132999999999,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
13,2,0.006004666666666666,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
14,1,0.006114833333333333,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
14,2,0.006255899999999999,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
15,1,0.006371600000000001,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
15,2,0.006517966333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
16,1,0.0066315333333333325,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
16,2,0.0067745999999999995,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
17,1,0.006902266666666667,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
17,2,0.007045133333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
18,1,0.0071570666666666664,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
18,2,0.007295033333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
19,1,0.007422233,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
19,2,0.007563033333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
20,1,0.007696099666666667,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
20,2,0.007840666666666668,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
21,1,0.007963066333333333,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
21,2,0.008121999666666666,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
22,1,0.008274833333333334,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
22,2,0.008421833333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 50 kW,, 22-06: 75 kW,])
23,1,0.008546699999999999,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
23,2,0.008685766333333332,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
24,1,0.008859966333333334,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
24,2,0.0090319,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 0 kW,])
25,1,0.0091762,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
25,2,0.009326233333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
26,1,0.0095051,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
26,2,0.009714866333333334,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
27,1,0.009860033333333334,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
27,2,0.010080733333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 50 kW,, 22-06: 0 kW,])
28,1,0.0102432,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
28,2,0.010397,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
29,1,0.010668933333333333,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
29,2,0.011134,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
30,1,0.011405733333333334,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
30,2,0.011563833,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
31,1,0.011694133,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
31,2,0.011861466666666667,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@9,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
32,1,0.0120025,ConcederNegotiationParty@8,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
